"brand","model","product_id","temperature_c","estimated_psi","point_status","reference_psi","reference_temperature_c","model_id","confidence","inside_published_operating_range"
"Powair","Premium Quality 175 PSI","powair-175","3","108.93","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","4","112.21","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","5","115.56","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","6","118.98","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","7","122.48","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","8","126.05","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","9","129.69","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","10","133.42","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","11","137.21","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","12","141.09","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","13","145.04","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","14","149.08","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","15","153.19","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","16","157.39","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","17","161.67","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","18","166.03","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","19","170.47","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","20","175","manufacturer_or_distributor_anchor","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","21","179.61","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","22","184.31","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","23","189.1","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","24","193.98","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","25","198.94","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","26","204","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","27","209.14","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","28","214.37","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","29","219.7","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","30","225.12","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","31","230.63","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","32","236.24","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","33","241.94","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","34","247.74","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","35","253.64","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","36","259.63","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","37","265.72","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","38","271.91","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","39","278.2","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 175 PSI","powair-175","40","284.59","estimated_propane_ratio","175","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-15","70.95","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-14","73.43","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-13","75.98","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-12","78.59","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-11","81.27","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-10","84.02","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-9","86.84","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-8","89.72","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-7","92.68","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-6","95.71","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-5","98.81","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-4","101.98","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-3","105.23","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-2","108.56","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","-1","111.96","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","0","115.44","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","1","119","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","2","122.64","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","3","126.36","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","4","130.16","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","5","134.05","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","6","138.02","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","7","142.07","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","8","146.22","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","9","150.44","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","10","154.76","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","11","159.17","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","12","163.66","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","13","168.25","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","14","172.93","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","15","177.7","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
"Powair","Premium Quality 203 PSI","powair-203","16","182.57","estimated_propane_ratio","203","20","anchor_scaled_propane_antoine_nist","high",""
